0000,AIRPORT/FORT SNELLING
0005,ADA
0010,ADAMS
0015,ADRIAN 
0020,AFTON
0025,AITKIN 
0030,AKELEY 
0035,ALBANY 
0040,ALBERTA
0045,ALBERT LEA 
0050,ALBERTVILLE
0055,ALDEN
0060,ALDRICH
0065,ALEXANDRIA 
0070,ALPHA
0075,ALTURA 
0080,ALVARADO 
0085,AMBOY
0088,ANDOVER
0090,ANNANDALE
0095,ANOKA
0100,APPLETON 
0102,APPLE VALLEY 
0105,ARCO 
0110,ARDEN HILLS
0115,ARGYLE 
0120,ARLINGTON
0125,ASHBY
0130,ASKOV
0135,ATWATER
0140,AUDOBON
0145,AURORA 
0150,AUSTIN 
0155,AVOKA
0160,AVON 
0165,BABBIT 
0170,BACKUS 
0175,BADGER 
0180,BAGLEY 
0185,BALATON
0195,BARNESVILLE
0200,BARNUM 
0205,BARRETT
0210,BARRY
0215,BATTLE LAKE
0220,BAUDETTE 
0225,BAXTER 
0230,BAYPORT
0235,BEARDSLEY
0240,BEAVER BAY 
0245,BEAVER CREEK 
0250,BECKER 
0255,BEJOU
0260,BELGRADE 
0265,BELLECHESTER 
0270,BELLE PLAIN
0275,BELLINGHAM 
0280,BELTRAMI 
0285,BELVIEW
0290,BEMIDJI
0295,BENA 
0300,BENSON 
0310,BERTHA 
0315,BETHEL 
0320,BIGELOW
0325,BIG FALLS
0330,BIGFORK
0335,BIG LAKE 
0340,BINGHAM LAKE 
0345,BIRCHWOOD
0350,BIRD ISLAND
0355,BISCAY 
0360,BIWABIK
0365,BLACKDUCK
0370,BLAINE 
0375,BLOMKEST 
0380,BLOOMING PRA 
0385,BLOOMINGTON
0390,BLUE EARTH 
0395,BLUFTON
0400,BOCK 
0405,BORUP
0410,BOVEY
0415,BOWLUS 
0420,BOYD 
0425,BOY RIVER
0430,BRAHAM 
0435,BRAINERD 
0437,BRANCH 
0440,BRANDON
0445,BRECKENRIDGE 
0447,BREEZY POINT 
0450,BREWSTER 
0455,BRICELYN 
0460,BROOKLYN CTR 
0465,BROOKLYN PRK 
0470,BROOK PARK 
0475,BROOKS 
0480,BROOKSTON
0485,BROOTEN
0490,BROWERVILLE
0495,BROWNSDALE 
0500,BROWNS VALLEY
0505,BROWNSVILLE
0510,BROWNTON 
0515,BRUNO
0520,BUCKMAN
0525,BUFFALO
0530,BUFFALO LAKE 
0535,BUHL 
0537,BURNSVILLE 
0540,BURTRUM
0545,BUTTERFIELD
0550,BYRON
0555,CALEDONIA
0560,CALLAWAY 
0565,CALUMET
0570,CAMBRIDGE
0575,CAMPBELL 
0580,CANBY
0585,CANNON FALLS 
0590,CANTON 
0595,CARLOS 
0600,CARLTON
0601,CARVER 
0605,CASS LAKE
0610,CEDAR MILLS
0615,CENTER CITY
0620,CENTERVILLE
0625,CEYLON 
0630,CHAMPLIN 
